condition,parameters,pages,mean_cer
clean,{},8,0.06585767891525131
contrast_reduction,"factor=0.75",8,0.06585767891525131
contrast_reduction,"factor=0.5",8,0.06630894245315744
crop,"top=0.02;right=0.02;bottom=0.02;left=0.02;resize_back=false",8,0.06613732097341685
crop,"top=0.05;right=0.05;bottom=0.05;left=0.05;resize_back=false",8,0.3279203476175668
downsample,"factor=0.75",8,0.06976029740701216
downsample,"factor=0.5",8,0.06721146952896971
downsample,"factor=0.25",8,0.13210903543729796
gaussian_blur,"sigma=0.5",8,0.06585767891525131
gaussian_blur,"sigma=1.0",8,0.06630894245315744
gaussian_blur,"sigma=2.0",8,0.21501575416732643
gaussian_noise,"stddev=5.0",8,0.06811399660478198
gaussian_noise,"stddev=15.0",8,0.07061457620932608
gaussian_noise,"stddev=30.0",8,0.06824958752696975
jpeg,"quality=80",8,0.06630894245315744
jpeg,"quality=60",8,0.06630894245315744
jpeg,"quality=40",8,0.06572208799306355
jpeg,"quality=20",8,0.06630894245315744
motion_blur,"size=3;angle=0.0",8,0.06811399660478198
motion_blur,"size=3;angle=30.0",8,0.06621036924306355
motion_blur,"size=7;angle=0.0",8,0.2681679272854813
motion_blur,"size=7;angle=30.0",8,0.08140242710789498
partial_occlusion,"width=0.1;height=0.05;color=white",8,0.07151278413057569
partial_occlusion,"width=0.1;height=0.1;color=white",8,0.06585767891525131
perspective,"magnitude=0.02",8,0.06721146952896971
perspective,"magnitude=0.06",8,0.2914259834381956
rotation,"degrees=1.0",8,0.06748265137334523
rotation,"degrees=2.0",8,0.07493301023584203
rotation,"degrees=5.0",8,0.2536598855836445
scanner_artifacts,"lines=3;speckle_rate=0.0003",8,0.06676020599106358
scanner_artifacts,"lines=8;speckle_rate=0.0003",8,0.0710218599722895
skew,"degrees=1.0",8,0.0664445333753452
skew,"degrees=3.0",8,0.07853607245667538
uneven_illumination,"strength=0.25",8,0.06630894245315744
uneven_illumination,"strength=0.5",8,0.15701291357229102
